Property type,Bedroom,Bathroom,Furnished Status,Carpet Area,Construction Status,Floor No,SquareFeet,Facing,Car Parking,Total Price (INR),Address,BHK,City,State
Houses & Villas,4.0,1.0,Furnished,2600,Ready to Move,4.0,2600.0,East,1.0,2500000.0,"Dagarpada, Cuttack, Odisha",4.0,Cuttack,Odisha
Houses & Villas,3.0,3.0,Semi-Furnished,1000,Ready to Move,1.0,800.0,East,1.0,4100000.0,"Arya Nagar, Nagpur, Maharashtra",3.0,Nagpur,Maharashtra
Houses & Villas,3.0,1.0,Unfurnished,500,Ready to Move,2.0,500.0,,0.0,2300000.0,"Sardarikhera, Lucknow, Uttar Pradesh",3.0,Lucknow,Uttar Pradesh
Apartments,2.0,,,624,,,730.0,,,6302000.0,"Thane West, Thane, Maharashtra",,Thane,Maharashtra
Apartments,2.0,2.0,Unfurnished,740,Ready to Move,17.0,1100.0,West,1.0,6700000.0,"Baner Road, Pune, Maharashtra",2.0,Pune,Maharashtra
Apartments,2.0,2.0,Semi-Furnished,900,Ready to Move,4.0,1050.0,,2.0,3000000.0,"Koradi Road, Nagpur, Maharashtra",2.0,Nagpur,Maharashtra
,,,,,,,,,,,,,,
Apartments,3.0,3.0,Semi-Furnished,0,New Launch,2.0,0.0,,1.0,19000000.0,"Patia, Bhubaneshwar, Odisha",3.0,Bhubaneshwar,Odisha
Apartments,2.0,2.0,Unfurnished,835,Under Construction,27.0,1060.0,East,1.0,9567000.0,"Kothrud, Pune, Maharashtra",2.0,Pune,Maharashtra
Houses & Villas,4.0,4.0,Unfurnished,600,Ready to Move,2.0,600.0,East,,5500000.0,"Bharatpur, Bhubaneshwar, Odisha",4.0,Bhubaneshwar,Odisha
Apartments,2.0,2.0,Unfurnished,750,Ready to Move,2.0,1072.0,East,1.0,2500000.0,"Ulwe, Navi Mumbai, Maharashtra",2.0,Navi Mumbai,Maharashtra
Apartments,2.0,2.0,Unfurnished,660,Ready to Move,,660.0,,1.0,1782000.0,"Padamavati Chowk, Pune, Maharashtra",2.0,Pune,Maharashtra
Apartments,1.0,2.0,Furnished,400,Under Construction,36.0,700.0,East,1.0,3000000.0,"Kharghar, Navi  Mumbai, Maharashtra",1.0,Navi  Mumbai,Maharashtra
Apartments,,1.0,Semi-Furnished,425,Ready to Move,4.0,415.0,West,,2500000.0,"Kalwa, Thane, Maharashtra",,Thane,Maharashtra
Houses & Villas,2.0,2.0,Semi-Furnished,1200,Ready to Move,2.0,1450.0,East,1.0,4950000.0,"Indira Nagar, Lucknow, Uttar Pradesh",2.0,Lucknow,Uttar Pradesh
Builder Floors,2.0,2.0,Semi-Furnished,450,Ready to Move,4.0,480.0,East,0.0,1851000.0,"Uttam Nagar, Delhi, Delhi",2.0,Delhi,Delhi
Houses & Villas,,,,0,,,0.0,,,1300000.0,"Olpherts Lines, Lucknow, Uttar Pradesh",,Lucknow,Uttar Pradesh
Apartments,1.0,1.0,Unfurnished,350,Ready to Move,4.0,500.0,West,0.0,3000000.0,"Ulwe, Navi Mumbai, Maharashtra",1.0,Navi Mumbai,Maharashtra
Houses & Villas,1.0,1.0,Semi-Furnished,486,Ready to Move,2.0,800.0,North,1.0,3000000.0,"Aliganj, Lucknow, Uttar Pradesh",1.0,Lucknow,Uttar Pradesh
Apartments,2.0,2.0,Unfurnished,700,Ready to Move,14.0,1090.0,North-East,1.0,5950000.0,"Arjun Nagar, Lucknow, Uttar Pradesh",2.0,Lucknow,Uttar Pradesh
Apartments,3.0,2.0,Unfurnished,979,Ready to Move,4.0,1832.0,East,1.0,10992000.0,"Rasulgarh, Bhubaneshwar, Odisha",3.0,Bhubaneshwar,Odisha
Apartments,2.0,2.0,Semi-Furnished,700,Ready to Move,9.0,1050.0,East,1.0,12000000.0,"Kalyani Nagar, Pune, Maharashtra",2.0,Pune,Maharashtra
Apartments,3.0,3.0,Furnished,855,Ready to Move,,960.0,East,,21000000.0,"Versova,  Mumbai, Maharashtra",3.0,Mumbai,Maharashtra
Apartments,3.0,3.0,Furnished,1100,Ready to Move,10.0,1335.0,East,1.0,13000000.0,"Narayan Peth, Pune, Maharashtra",3.0,Pune,Maharashtra
Builder Floors,2.0,2.0,Unfurnished,650,Ready to Move,10.0,1150.0,East,1.0,12500000.0,"Ulwe, Navi Mumbai, Maharashtra",2.0,Navi Mumbai,Maharashtra
Builder Floors,2.0,2.0,Unfurnished,900,Ready to Move,3.0,940.0,South,1.0,6500000.0,"Ashok Nagar, Delhi, Delhi",2.0,Delhi,Delhi
Apartments,2.0,2.0,Furnished,589,Ready to Move,24.0,595.0,North-East,1.0,20615000.0,"Powai,  Mumbai, Maharashtra",2.0,Mumbai,Maharashtra
Apartments,1.0,2.0,Unfurnished,340,Ready to Move,20.0,560.0,West,1.0,9000000.0,"Bandra East, Mumbai, Maharashtra",1.0,Mumbai,Maharashtra
Builder Floors,2.0,1.0,Unfurnished,0,Ready to Move,4.0,700.0,North,1.0,1800900.0,"Nagpur City H O, Nagpur, Maharashtra",2.0,Nagpur,Maharashtra
Apartments,1.0,2.0,Semi-Furnished,404,Under Construction,32.0,650.0,East,0.0,11800000.0,"Andheri West, Mumbai, Maharashtra",1.0,Mumbai,Maharashtra
Builder Floors,3.0,2.0,Unfurnished,700,Ready to Move,4.0,950.0,North-West,1.0,4800000.0,"Picnic Garden, Kolkata, West Bengal",3.0,Kolkata,West Bengal
Builder Floors,2.0,2.0,Semi-Furnished,470,Ready to Move,4.0,500.0,North-East,1.0,2300000.0,"Dwarka Mor, Delhi, Delhi",2.0,Delhi,Delhi
Apartments,2.0,2.0,Furnished,1000,Ready to Move,10.0,1225.0,South,1.0,18500000.0,"Boat Club Road, Pune, Maharashtra",2.0,Pune,Maharashtra
Apartments,4.0,3.0,Unfurnished,1431,Ready to Move,4.0,1804.0,North-East,1.0,7000000.0,"Picnic Garden, Kolkata, West Bengal",4.0,Kolkata,West Bengal
Houses & Villas,2.0,2.0,Unfurnished,1065,Ready to Move,,1100.0,North-East,1.0,4500000.0,"Indira Nagar, Lucknow, Uttar Pradesh",2.0,Lucknow,Uttar Pradesh
Apartments,1.0,2.0,Unfurnished,403,Under Construction,7.0,621.0,,,2484000.0,"Kopri Colony, Thane, Maharashtra",1.0,Thane,Maharashtra
Apartments,2.0,2.0,Unfurnished,1200,Ready to Move,2.0,1400.0,North-East,,5800000.0,"Naranpura, Ahmedabad, Gujarat",2.0,Ahmedabad,Gujarat
Apartments,1.0,1.0,Unfurnished,225,Ready to Move,24.0,300.0,East,,6000000.0,"Byculla, Mumbai, Maharashtra",1.0,Mumbai,Maharashtra
Apartments,1.0,1.0,Unfurnished,443,Ready to Move,30.0,550.0,North-East,1.0,4000000.0,"Majiwada, Thane, Maharashtra",1.0,Thane,Maharashtra
Houses & Villas,4.0,4.0,Furnished,1080,Ready to Move,2.0,2500.0,North-East,1.0,11500000.0,"Indira Nagar, Lucknow, Uttar Pradesh",4.0,Lucknow,Uttar Pradesh
Houses & Villas,1.0,2.0,Semi-Furnished,570,Ready to Move,2.0,600.0,North-East,1.0,3700000.0,"Chander Vihar, Delhi, Delhi",1.0,Delhi,Delhi
Apartments,3.0,2.0,Unfurnished,850,Ready to Move,6.0,1340.0,South-East,0.0,6030000.0,"Dum Dum Metro, Kolkata, West Bengal",3.0,Kolkata,West Bengal
Builder Floors,2.0,2.0,Furnished,536,Ready to Move,35.0,686.0,,1.0,13600000.0,"Chembur, Mumbai, Maharashtra",2.0,Mumbai,Maharashtra
Houses & Villas,1.0,1.0,Semi-Furnished,500,Ready to Move,1.0,800.0,,,3700000.0,"D Colony, Ahmedabad, Gujarat",1.0,Ahmedabad,Gujarat
Apartments,3.0,3.0,Semi-Furnished,1470,Ready to Move,7.0,1640.0,East,1.0,7551000.0,"Narendra Nagar, Nagpur, Maharashtra",3.0,Nagpur,Maharashtra
Apartments,3.0,2.0,Unfurnished,950,Ready to Move,21.0,1150.0,East,1.0,6100000.0,"Powai, Mumbai, Maharashtra",3.0,Mumbai,Maharashtra
Builder Floors,3.0,2.0,Unfurnished,900,New Launch,4.0,900.0,East,1.0,11000000.0,"Shiv Nagar, Delhi, Delhi",3.0,Delhi,Delhi
Apartments,1.0,1.0,Unfurnished,625,Ready to Move,,625.0,East,0.0,1687500.0,"Satara Road, Balajinagar, Pune, Maharashtra",1.0,,
Apartments,2.0,2.0,Unfurnished,891,Ready to Move,36.0,1246.0,West,1.0,6500000.0,"Panvel, Navi Mumbai, Maharashtra",2.0,Navi Mumbai,Maharashtra
Apartments,,1.0,Unfurnished,250,Ready to Move,4.0,350.0,East,0.0,2800000.0,"Ulwe, Navi Mumbai, Maharashtra",,Navi Mumbai,Maharashtra
Apartments,2.0,2.0,Unfurnished,570,Ready to Move,7.0,960.0,East,0.0,7200000.0,"Ulwe, Navi Mumbai, Maharashtra",2.0,Navi Mumbai,Maharashtra
Apartments,1.0,1.0,Furnished,445,Ready to Move,6.0,585.0,East,0.0,2200000.0,"Dhayri, Pune, Maharashtra",1.0,Pune,Maharashtra
Apartments,2.0,2.0,Semi-Furnished,909,Ready to Move,7.0,1170.0,East,1.0,7500000.0,"Nava Vadaj, Ahmedabad, Gujarat",2.0,Ahmedabad,Gujarat
Apartments,2.0,2.0,Semi-Furnished,480,Under Construction,4.0,576.0,North-West,0.0,1900800.0,"Beleghata, Kolkata, West Bengal",2.0,Kolkata,West Bengal
Apartments,1.0,1.0,Unfurnished,400,Ready to Move,4.0,470.0,East,1.0,400000.0,"Kalher, Thane, Maharashtra",1.0,Thane,Maharashtra
Houses & Villas,2.0,1.0,Unfurnished,600,Under Construction,,600.0,,,2950000.0,"Mahendra Nagar, Nagpur, Maharashtra",2.0,Nagpur,Maharashtra
Houses & Villas,2.0,2.0,Semi-Furnished,1400,Ready to Move,2.0,1400.0,North-East,1.0,9500000.0,"Kurla East, Mumbai, Maharashtra",2.0,Mumbai,Maharashtra
Apartments,1.0,1.0,Furnished,610,Ready to Move,4.0,610.0,East,1.0,4000000.0,"Katraj Kondhwa Road, Pune, Maharashtra",1.0,Pune,Maharashtra
Builder Floors,1.0,1.0,Unfurnished,400,Ready to Move,4.0,650.0,East,0.0,3300000.0,"Wahal Village, Navi Mumbai, Maharashtra",1.0,Navi Mumbai,Maharashtra
Builder Floors,3.0,3.0,Semi-Furnished,750,Ready to Move,4.0,800.0,West,1.0,4500000.0,"Uttam Nagar, Delhi, Delhi",3.0,Delhi,Delhi
Houses & Villas,,,,0,,,0.0,,,1300000.0,"Ganeshganj, Lucknow, Uttar Pradesh",,Lucknow,Uttar Pradesh
Builder Floors,2.0,2.0,Unfurnished,790,Under Construction,11.0,1100.0,East,1.0,5000000.0,"Kondhwa, Pune, Maharashtra",2.0,Pune,Maharashtra
Apartments,3.0,3.0,Furnished,200,Ready to Move,12.0,1980.0,North-East,1.0,13500000.0,"Gulabai Tekra, Ahmedabad, Gujarat",3.0,Ahmedabad,Gujarat
Houses & Villas,1.0,2.0,Unfurnished,20,Ready to Move,2.0,200.0,North-West,0.0,1650000.0,"Nangloi, Delhi, Delhi",1.0,Delhi,Delhi
Builder Floors,2.0,1.0,Unfurnished,0,Ready to Move,4.0,700.0,North,1.0,1800900.0,"Nagpur City H O, Nagpur, Maharashtra",2.0,Nagpur,Maharashtra
Apartments,1.0,1.0,Semi-Furnished,550,Ready to Move,2.0,670.0,North,2.0,9499999.0,"Thane West, Thane, Maharashtra",1.0,Thane,Maharashtra
Apartments,2.0,2.0,Unfurnished,753,Under Construction,8.0,1091.0,East,3.0,7229476.0,"Dhanori Tingre Nagar, Pune, Maharashtra",2.0,Pune,Maharashtra
Houses & Villas,2.0,2.0,Semi-Furnished,12,New Launch,2.0,432.0,North,0.0,4500000.0,"Marchikote Chowk Area, Puri, Odisha",2.0,Puri,Odisha
Houses & Villas,3.0,2.0,Semi-Furnished,1000,Ready to Move,2.0,1500.0,East,1.0,6000000.0,"Aliganj, Lucknow, Uttar Pradesh",3.0,Lucknow,Uttar Pradesh
Builder Floors,2.0,2.0,Semi-Furnished,900,Ready to Move,3.0,1000.0,North-East,1.0,11000000.0,"Ramesh Nagar, Delhi, Delhi",2.0,Delhi,Delhi
Apartments,1.0,1.0,Semi-Furnished,530,Ready to Move,8.0,640.0,North-East,1.0,6500000.0,"Kalwa, Thane, Maharashtra",1.0,Thane,Maharashtra
Builder Floors,2.0,1.0,Unfurnished,450,Ready to Move,4.0,550.0,,0.0,2200000.0,"Topsia, Kolkata, West Bengal",2.0,Kolkata,West Bengal
Apartments,3.0,2.0,Semi-Furnished,1350,Ready to Move,4.0,1700.0,South,1.0,17000000.0,"IRC Village, Bhubaneshwar, Odisha",3.0,Bhubaneshwar,Odisha
Apartments,1.0,1.0,Unfurnished,3,Under Construction,26.0,477.0,South-East,0.0,3800000.0,"Kalher, Thane, Maharashtra",1.0,Thane,Maharashtra
Houses & Villas,,,,100,,1.0,100.0,,,4000000.0,"Vikhroli East, Mumbai, Maharashtra",,Mumbai,Maharashtra
Apartments,2.0,2.0,Unfurnished,1400,Ready to Move,2.0,1400.0,,1.0,5100000.0,"Murli Nagar, Lucknow, Uttar Pradesh",2.0,Lucknow,Uttar Pradesh
Builder Floors,1.0,1.0,Semi-Furnished,400,Ready to Move,4.0,450.0,North-East,0.0,1900000.0,"Uttam Nagar, Delhi, Delhi",1.0,Delhi,Delhi
Builder Floors,3.0,2.0,Semi-Furnished,675,Ready to Move,8.0,700.0,North-West,1.0,4000000.0,"Dwarka Mor, Delhi, Delhi",3.0,Delhi,Delhi
Apartments,2.0,2.0,Unfurnished,813,Under Construction,13.0,1200.0,East,1.0,11400000.0,"Ulwe, Navi Mumbai, Maharashtra",2.0,Navi Mumbai,Maharashtra
Apartments,2.0,2.0,Unfurnished,875,Under Construction,13.0,1137.0,East,1.0,11500000.0,"Koregaon Park Extension, Pune, Maharashtra",2.0,Pune,Maharashtra
Apartments,3.0,2.0,Furnished,1600,Ready to Move,5.0,1600.0,North-East,2.0,10000.0,"Ambavadi, Ahmedabad, Gujarat",3.0,Ahmedabad,Gujarat
Apartments,1.0,1.0,Semi-Furnished,612,Ready to Move,4.0,720.0,East,1.0,2351000.0,"Ranip, Ahmedabad, Gujarat",1.0,Ahmedabad,Gujarat
Apartments,3.0,2.0,Furnished,900,Ready to Move,3.0,1200.0,North,1.0,4000000.0,"Ganpati Nagar, Nagpur, Maharashtra",3.0,Nagpur,Maharashtra
Houses & Villas,3.0,3.0,,1000,Ready to Move,1.0,1450.0,East,1.0,5000000.0,"Wardha Road,  Nagpur, Maharashtra",3.0,Nagpur,Maharashtra
Apartments,2.0,2.0,Semi-Furnished,1850,Ready to Move,3.0,900.0,East,1.0,4250000.0,"Telephone nagar, Nagpur, Maharashtra",2.0,Nagpur,Maharashtra
Apartments,3.0,3.0,Semi-Furnished,1400,Under Construction,6.0,1500.0,East,1.0,6500000.0,"Omkar Nagar, Nagpur, Maharashtra",3.0,Nagpur,Maharashtra
Apartments,3.0,2.0,Unfurnished,1100,Ready to Move,5.0,1080.0,South,1.0,3900000.0,"Golaganj, Lucknow, Uttar Pradesh",3.0,Lucknow,Uttar Pradesh
Apartments,1.0,1.0,Unfurnished,448,Ready to Move,5.0,464.0,East,1.0,2200000.0,"Ulwe, Navi Mumbai, Maharashtra",1.0,Navi Mumbai,Maharashtra
Apartments,3.0,3.0,Furnished,1402,Ready to Move,4.0,1602.0,North-East,1.0,8888888.0,"Ghatikia, Bhubaneshwar, Odisha",3.0,Bhubaneshwar,Odisha
Builder Floors,1.0,1.0,Semi-Furnished,25,Ready to Move,4.0,25.0,North-West,0.0,650000.0,"Vikaspuri, Delhi, Delhi",1.0,Delhi,Delhi
Apartments,2.0,2.0,Unfurnished,750,Ready to Move,30.0,1110.0,South,1.0,8100000.0,"Shilphata Road, Thane, Maharashtra",2.0,Thane,Maharashtra
Apartments,3.0,2.0,Unfurnished,900,Ready to Move,7.0,1350.0,North-East,1.0,6000000.0,"Motera, Ahmedabad, Gujarat",3.0,Ahmedabad,Gujarat
Apartments,4.0,4.0,Semi-Furnished,1750,Ready to Move,4.0,1850.0,South,0.0,7500000.0,"Paikpara, Kolkata, West Bengal",4.0,Kolkata,West Bengal
Houses & Villas,,1.0,Unfurnished,225,Ready to Move,3.0,239.0,,0.0,3250000.0,"Kurla West, Mumbai, Maharashtra",,Mumbai,Maharashtra
Houses & Villas,3.0,4.0,Furnished,4000,Ready to Move,2.0,2500.0,North-East,3.0,17500000.0,"Gorewada Road, Nagpur, Maharashtra",3.0,Nagpur,Maharashtra
Apartments,1.0,1.0,Furnished,340,Ready to Move,3.0,400.0,North,0.0,8500000.0,"Mahim, Mumbai, Maharashtra",1.0,Mumbai,Maharashtra
Houses & Villas,3.0,2.0,Semi-Furnished,110,Ready to Move,5.0,110086.0,East,0.0,3300000.0,"Budh Vihar, Delhi, Delhi",3.0,Delhi,Delhi
Builder Floors,2.0,1.0,Furnished,620,Ready to Move,3.0,670.0,South-West,0.0,990000.0,"Vikaspuri, Delhi, Delhi",2.0,Delhi,Delhi
Apartments,4.0,2.0,Semi-Furnished,150,Ready to Move,2.0,250.0,,0.0,9000000.0,"Dhobighat, Ahmedabad, Gujarat",4.0,Ahmedabad,Gujarat
Apartments,3.0,3.0,Unfurnished,771,Under Construction,7.0,1187.0,,,4748000.0,"Kapurbawdi, Thane, Maharashtra",3.0,Thane,Maharashtra
Houses & Villas,,,,0,,,0.0,East,,1300000.0,"Badshah Nagar Railway Colony, Lucknow, Uttar Pradesh",,Lucknow,Uttar Pradesh
Apartments,1.0,2.0,Semi-Furnished,821,Under Construction,18.0,981.0,South-East,3.0,5871655.0,"Kolshet Road, Thane, Maharashtra",1.0,Thane,Maharashtra
Apartments,3.0,2.0,Semi-Furnished,700,Ready to Move,21.0,945.0,East,1.0,10000000.0,"Magarpatta City, Pune, Maharashtra",3.0,Pune,Maharashtra
Apartments,2.0,2.0,Unfurnished,500,New Launch,5.0,600.0,South,1.0,1800000.0,"Sector 4 Sukanta Nagar, Bidhannagar, West Bengal",2.0,Bidhannagar,West Bengal
Apartments,1.0,2.0,Unfurnished,400,Ready to Move,4.0,590.0,,0.0,3400000.0,"Old Panvel, Navi Mumbai, Maharashtra",1.0,Navi Mumbai,Maharashtra
Apartments,1.0,1.0,Unfurnished,480,Ready to Move,6.0,600.0,East,0.0,2500000.0,"Ambegaon Pathar, Pune, Maharashtra",1.0,Pune,Maharashtra
Houses & Villas,2.0,2.0,Unfurnished,50,Ready to Move,1.0,50.0,North-East,0.0,2500000.0,"Pratap Vihar, Delhi, Delhi",2.0,Delhi,Delhi
Builder Floors,1.0,1.0,Semi-Furnished,405,Ready to Move,4.0,445.0,East,0.0,1999999.0,"Uttam Nagar, Delhi, Delhi",1.0,Delhi,Delhi
Apartments,2.0,2.0,Furnished,10670,New Launch,4.0,1040.0,,3.0,7000000.0,"Kaling Nagar Patrapada, Bhubaneshwar, Odisha",2.0,Bhubaneshwar,Odisha
Apartments,2.0,2.0,Unfurnished,584,Ready to Move,17.0,910.0,West,1.0,14200000.0,"Kurla East, Mumbai, Maharashtra",2.0,Mumbai,Maharashtra
Farm Houses,1.0,1.0,Furnished,5000,New Launch,1.0,350.0,East,3.0,3000000.0,"Amravati Road, Nagpur, Maharashtra",1.0,Nagpur,Maharashtra
Apartments,2.0,2.0,,650,Ready to Move,,663.0,,,2100000.0,"Kondhwa Khurd, Pune, Maharashtra",2.0,Pune,Maharashtra
Houses & Villas,2.0,2.0,Furnished,1350,Ready to Move,2.0,1550.0,South-East,1.0,5000000.0,"Balipada, Bhubaneshwar, Odisha",2.0,Bhubaneshwar,Odisha
Apartments,3.0,3.0,Semi-Furnished,1100,Ready to Move,15.0,1550.0,South-West,1.0,39500000.0,"Versova,  Mumbai, Maharashtra",3.0,Mumbai,Maharashtra
Houses & Villas,4.0,3.0,Semi-Furnished,2600,Ready to Move,0.0,3484.0,South-East,1.0,7200000.0,"Kantanali, Dhenkanal, Odisha",4.0,Dhenkanal,Odisha
Builder Floors,2.0,2.0,Unfurnished,650,Ready to Move,10.0,1150.0,East,1.0,12000000.0,"Ulwe, Navi  Mumbai, Maharashtra",2.0,Navi  Mumbai,Maharashtra
Apartments,2.0,2.0,Unfurnished,522,Under Construction,17.0,700.0,East,0.0,13050000.0,"Thane East, Thane, Maharashtra",2.0,Thane,Maharashtra
Houses & Villas,,,,0,,,0.0,,,1300000.0,"Olpherts Lines, Lucknow, Uttar Pradesh",,Lucknow,Uttar Pradesh
Apartments,3.0,2.0,Semi-Furnished,950,Ready to Move,4.0,1140.0,North-East,1.0,4560000.0,"Aminabad, Lucknow, Uttar Pradesh",3.0,Lucknow,Uttar Pradesh
Houses & Villas,3.0,3.0,Semi-Furnished,1850,Ready to Move,2.0,2840.0,East,1.0,13000000.0,"Motera, Ahmedabad, Gujarat",3.0,Ahmedabad,Gujarat
Builder Floors,3.0,3.0,Semi-Furnished,900,Ready to Move,4.0,1000.0,East,1.0,5675000.0,"Budh Vihar, Delhi, Delhi",3.0,Delhi,Delhi
Houses & Villas,4.0,4.0,Semi-Furnished,3000,Ready to Move,1.0,3000.0,South,1.0,26000000.0,"Saltlake Sector II, Kolkata, West Bengal",4.0,Kolkata,West Bengal
Houses & Villas,4.0,4.0,Unfurnished,1800,Ready to Move,2.0,3600.0,North-West,1.0,10000000.0,"Rahim Nagar, Lucknow, Uttar Pradesh",4.0,Lucknow,Uttar Pradesh
Apartments,1.0,1.0,Unfurnished,375,Under Construction,5.0,500.0,East,0.0,1300000.0,"Ambegaon Kh Part N V, Pune, Maharashtra",1.0,Pune,Maharashtra
Apartments,2.0,2.0,Semi-Furnished,960,Ready to Move,4.0,970.0,East,1.0,3900000.0,"Seminary Hills, Nagpur, Maharashtra",2.0,Nagpur,Maharashtra
Houses & Villas,4.0,4.0,Furnished,1900,Under Construction,2.0,2000.0,North,,10200000.0,"Patia, Bhubaneshwar, Odisha",4.0,Bhubaneshwar,Odisha
Builder Floors,2.0,1.0,Semi-Furnished,400,Ready to Move,4.0,480.0,South-West,0.0,1600000.0,"Topsia, Kolkata, West Bengal",2.0,Kolkata,West Bengal
Apartments,2.0,2.0,Unfurnished,710,Under Construction,15.0,1000.0,East,1.0,4500000.0,"NIBM, Pune, Maharashtra",2.0,Pune,Maharashtra
Builder Floors,3.0,2.0,Unfurnished,850,Ready to Move,4.0,1100.0,North,0.0,6500000.0,"Paikpara, Kolkata, West Bengal",3.0,Kolkata,West Bengal
Houses & Villas,3.0,2.0,Furnished,900,Ready to Move,1.0,1000.0,North-East,1.0,4600000.0,"Oblige, Lucknow, Uttar Pradesh",3.0,Lucknow,Uttar Pradesh
Builder Floors,2.0,2.0,Semi-Furnished,640,Ready to Move,4.0,650.0,North,0.0,2550000.0,"Vikaspuri, Delhi, Delhi",2.0,Delhi,Delhi
Apartments,3.0,3.0,Semi-Furnished,1200,Under Construction,6.0,1700.0,North,1.0,6600000.0,"Omkar Nagar, Nagpur, Maharashtra",3.0,Nagpur,Maharashtra
Apartments,2.0,2.0,Semi-Furnished,1143,Ready to Move,5.0,1224.0,South-East,1.0,6900000.0,"New Ranip, Ahmedabad, Gujarat",2.0,Ahmedabad,Gujarat
Apartments,2.0,2.0,Semi-Furnished,850,Under Construction,4.0,1200.0,West,1.0,4000000.0,"Amravati Road, Nagpur, Maharashtra",2.0,Nagpur,Maharashtra
Houses & Villas,4.0,3.0,Semi-Furnished,270,Ready to Move,2.0,280.0,West,2.0,19000000.0,"Bapu Nagar, Ahmedabad, Gujarat",4.0,Ahmedabad,Gujarat
Apartments,3.0,3.0,Unfurnished,1114,Under Construction,13.0,2025.0,North-East,1.0,14377500.0,"Panjara Pol, Ahmedabad, Gujarat",3.0,Ahmedabad,Gujarat
Apartments,2.0,1.0,Semi-Furnished,391,Ready to Move,5.0,460.0,East,0.0,1400000.0,"Park Circus, Kolkata, West Bengal",2.0,Kolkata,West Bengal
Builder Floors,2.0,1.0,Semi-Furnished,340,Ready to Move,4.0,375.0,South-West,0.0,1499999.0,"Uttar Panchanan Gram, Kolkata, West Bengal",2.0,Kolkata,West Bengal
Apartments,3.0,3.0,Semi-Furnished,1226,Ready to Move,8.0,1850.0,East,2.0,25500000.0,"Majiwada, Thane, Maharashtra",3.0,Thane,Maharashtra
Farm Houses,1.0,1.0,Semi-Furnished,30,New Launch,1.0,5000.0,East,1.0,3000000.0,"Wadi, Nagpur, Maharashtra",1.0,Nagpur,Maharashtra
Apartments,3.0,2.0,Semi-Furnished,870,Ready to Move,4.0,950.0,North-East,1.0,3200000.0,"Uttam Nagar, Delhi, Delhi",3.0,Delhi,Delhi
Houses & Villas,3.0,3.0,Furnished,1000,Ready to Move,1.0,1800.0,East,1.0,11000000.0,"Nehru Nagar, Nagpur, Maharashtra",3.0,Nagpur,Maharashtra
Houses & Villas,2.0,2.0,Semi-Furnished,800,Ready to Move,0.0,1000.0,East,1.0,3400000.0,"Indira Nagar, Lucknow, Uttar Pradesh",2.0,Lucknow,Uttar Pradesh
Houses & Villas,,,,0,,,0.0,,,1300000.0,"Olpherts Lines, Lucknow, Uttar Pradesh",,Lucknow,Uttar Pradesh
Apartments,3.0,2.0,Unfurnished,908,Ready to Move,21.0,1080.0,East,1.0,10000000.0,"Kurla West,  Mumbai, Maharashtra",3.0,Mumbai,Maharashtra
Houses & Villas,2.0,2.0,Semi-Furnished,1000,Ready to Move,1.0,1200.0,North,,4000000.0,"New Khasala, Nagpur, Maharashtra",2.0,Nagpur,Maharashtra
Apartments,3.0,3.0,Unfurnished,1341,Under Construction,20.0,2222.0,East,1.0,15980605.0,"Patrapada, Bhubaneshwar, Odisha",3.0,Bhubaneshwar,Odisha
Apartments,2.0,2.0,Unfurnished,550,Ready to Move,5.0,652.0,North-West,1.0,4350000.0,"132 Feet Ring Road, Ahmedabad, Gujarat",2.0,Ahmedabad,Gujarat
Houses & Villas,2.0,2.0,Unfurnished,2700,Ready to Move,3.0,2700.0,,0.0,2700000.0,"Jamalpur, Ahmedabad, Gujarat",2.0,Ahmedabad,Gujarat
Apartments,2.0,1.0,Furnished,00,Ready to Move,4.0,0.0,South-East,1.0,4200000.0,"Nirnay Nagar, Ahmedabad, Gujarat",2.0,Ahmedabad,Gujarat
Apartments,2.0,2.0,Furnished,1200,Ready to Move,4.0,1200.0,South,2.0,10000.0,"Ashram Road, Ahmedabad, Gujarat",2.0,Ahmedabad,Gujarat
Apartments,1.0,1.0,Unfurnished,277,Ready to Move,4.0,326.0,South-East,0.0,1200000.0,"Beleghata, Kolkata, West Bengal",1.0,Kolkata,West Bengal
Houses & Villas,3.0,3.0,Furnished,1200,New Launch,3.0,1200.0,East,1.0,12000.0,"Gautam Nagar Old Town, Bhubaneshwar, Odisha",3.0,Bhubaneshwar,Odisha
Apartments,1.0,2.0,Unfurnished,410,Ready to Move,16.0,600.0,West,0.0,7500000.0,"Kurla East, Mumbai, Maharashtra",1.0,Mumbai,Maharashtra
Builder Floors,2.0,2.0,Furnished,781,Under Construction,16.0,790.0,North-West,1.0,23600000.0,"Andheri East, Mumbai, Maharashtra",2.0,Mumbai,Maharashtra
Apartments,3.0,3.0,Unfurnished,759,Ready to Move,30.0,900.0,North-East,1.0,7800000.0,"Majiwada, Thane, Maharashtra",3.0,Thane,Maharashtra
Apartments,2.0,2.0,Furnished,800,Ready to Move,15.0,1000.0,East,1.0,27000000.0,"Andheri West, Mumbai, Maharashtra",2.0,Mumbai,Maharashtra
Apartments,2.0,2.0,Unfurnished,1050,Under Construction,31.0,3500.0,East,1.0,9500000.0,"Vartak Nagar, Thane, Maharashtra",2.0,Thane,Maharashtra
Houses & Villas,2.0,2.0,Unfurnished,450,New Launch,2.0,450.0,North,1.0,5000000.0,"Budh Vihar, Delhi, Delhi",2.0,Delhi,Delhi
